Song_Number,Title
1.0,Vajtswv Thov Koj Foom Koobhmoov
2.0,Thaum Vajtswv Tseem Tsis Tau Tsis
3.0,Vajtswv Thiab Peb Tus Tswv Yexus
4.0,Koj Yog Vajtswv
6.0,"Vajtswv, Vajtswv, Vajtswv"
8.0,"Vajtswv, Koj Muaj Hwjchim"
10.0,Vajtswv Yog Peb Leejtxiv
11.0,"Vajtswv, Peb Yog Koj Cov Menyuam"
12.0,Kuv Lub Siab Qhuas Tus Tswv Yexus
13.0,Txhua Haivneeg Nyob Hauv Lub Qab Ntuj
21.0,"Vajtswv, Koj Yeej Hlub Peb Kawg"
23.0,Kuv Muab Siab Npuab Yexus
27.0,Kuv Twb Raug Kev Txomnyem Ntsuav
28.0,"Tswv Yexus, Kuv Hnov Koj Hu Kuv"
29.0,Kuv Muab Kuv Lub Cev Rau Yexus
30.0,"Vajtswv, Kuv Txav Los Cuag Koj"
31.0,Tswv Yexus Thov Koj Mloog Kuv Thov
32.0,"Vajtswv, Thov Koj Tshuaj Xyuas"
37.0,"Tswv Yexus, Koj Yog Tus Hlub Kuv"
55.0,Tus Tswv Yexus Yeej Yog Txojkev
56.0,Thaum Tswv Yexus Txhiv Peb Lub Txim
57.0,Kuv Tus Kwvluag
59.0,Txij Hnub Kuv Lees Yuav Tswv Yexus
60.0,Thaum Peb Los Ntseeg Tswv Yexus
62.0,Peb Cov Ntseeg Tswv Yexus
74.0,Vajtswv Tus Ntsujplig Thov Koj
77.0,Tus Uas Sawm Zoo
78.0,Vajtswv Phau Ntawv
79.0,Peb Sawvdaws Yuav Tsum Nyeem Vajtswv Lus
82.0,Leejtwg Txhiv Tau Peb Lub Txim
89.0,Kuv Yuav Tsa Cov Ntseeg Vajtswv
90.0,Vajtswv Hu Peb Los Ua Nws Haivneeg
91.0,Cov Kwvtij Hmoob
95.0,Kuv Twb Xais Tag Lawm
97.0,Tus Tswv Yexus Hlub Peb Sawvdaws
99.0,Cov Uas Ntseeg Tswv Yexus Muaj Chaw Nyob
104.0,Peb Yog Tswv Yexus Ib Pab Tubrog
112.0,"Zoo Siab Kawg, Kuv Tus Tswv Yexus"
115.0,Yexus Yog Lub Chaw Ruaj Khov Kho
120.0,Peb Cov Ntseeg Txhua Leej Txhua Tus
131.0,Kuv Nyiam Hais Txog Vajtswv Txojlus
145.0,Tswv Yexus Lub Npe
151.0,Nimno Kuv Los Ntseeg Yexus
152.0,Yexus Coj Kuv Mus Kev Tshav Ntuj
154.0,Cov Ntseeg Yexus Yog Ib Tsevneeg
160.0,Ntiajteb Vajtswv Tsim Tseg
161.0,Thaum Vajtswv Tsim Neeg
162.0,Thaum Sawvdaws Tseem Ua Neej Nyob
171.0,Kuv Taug Txojkev Mus Saum Ceebtsheej
179.0,Nyob Ceebtsheej Zoo Dua
180.0,Npaj Roj Rau Hauv Teeb
183.0,Thaum Txog Hnub Vajtswv Los
208.0,Nws Nyob Chaw Siab
213.0,Kuv Lub Txim Yexus Them Tag
219.0,Tus Tswv Yexus Zoo Yam Li Lub Kaus
224.0,Vajtswv Tsa Yexus Sawv Los
240.0,"Tswv Yexus, Koj Tuag Txhiv Kuv"
241.0,"Haleluyas, Tswv Yexus Muaj Hwjchim"
270.0,Hnub No Peb Sawvdaws Tuaj Ua Kev Zoo Siab
283.0,Vajtswv Ua Koj Tsaug
348.0,Haleluyas Qhuas Tswv Yexus
,"10,000 Reasons"
,You Raise Me Up
,"Koj Tsis Pab, Kuv Ua Tsis Tau Dabtsi [Without Him] (#148)"
,nan
